CFN DevOps Team, 2647, CI-SF-SANDBOX, succeeded, 04/14/2022 15:54:15
CFN DevOps Team, 2605, CI-SF-SANDBOX, succeeded, 04/07/2022 19:01:17
CFN DevOps Team, 2604, CI-SF-SANDBOX, succeeded, 04/07/2022 18:47:57
CFN DevOps Team, 2603, CI-SF-SANDBOX, succeeded, 04/07/2022 18:38:02
CFN DevOps Team, 20220401.3, CFN-DEV.repo-java-test PROD, succeeded, 04/01/2022 20:34:46
CFN DevOps Team, 20220401.6, YAML-Dev-pipeline-testing-mp, succeeded, 04/01/2022 17:48:52
CFN DevOps Team, 20220401.4, YAML-Dev-pipeline-testing-mp, succeeded, 04/01/2022 16:05:32
CFN DevOps Team, 20220316.4, YAML-QA-pipeline-testing-mp, succeeded, 03/17/2022 01:54:33
CFN DevOps Team, New release pipeline, Stage 1, failed, 04/25/2022 22:29:44
CFN DevOps Team, CD-SF-SANDBOX, Stage 1, succeeded, 04/07/2022 18:58:32
CFN DevOps Team, CD-SF-SANDBOX, Stage 1, failed, 04/07/2022 19:09:37
CFN DevOps Team, CD-SF-SANDBOX, Stage 1, succeeded, 04/07/2022 19:13:43
CFN DevOps Team, CD-SF-SANDBOX, Stage 1, succeeded, 04/07/2022 19:19:07
CFN DevOps Team, CD-SF-SANDBOX, Stage 1, failed, 04/07/2022 19:22:21
CFN DevOps Team, CD-SF-SANDBOX, Stage 1, notDeployed, 01/01/0001 00:00:00
CFN DevOps Team, CD-SF-SANDBOX, Stage 1, failed, 04/07/2022 19:31:36
CFN DevOps Team, CD-SF-SANDBOX, SANDBOX, failed, 04/07/2022 19:59:11
CFN DevOps Team, CD-SF-SANDBOX, SANDBOX, failed, 04/07/2022 20:04:14
CFN DevOps Team, CD-SF-SANDBOX, SANDBOX, failed, 04/07/2022 20:24:48
CFN DevOps Team, BrandStudio-Test-Release, Stage 1, succeeded, 02/15/2022 21:44:04
CFN DevOps Team, CD-SF-SANDBOX, SANDBOX, failed, 04/08/2022 14:51:47
CFN DevOps Team, CD-SF-SANDBOX-PARAM, SANDBOX, succeeded, 04/17/2022 05:08:02
CFN DevOps Team, CD-SF-SANDBOX-PARAM, SANDBOX, failed, 04/25/2022 21:50:39
CFN DevOps Team, CD-SF-SANDBOX-PARAM, SANDBOX, notDeployed, 01/01/0001 00:00:00
